profile,setting,route_id,selected_route_id,selected_route_name,hazard_source,agent_reply,alerts,preferences_applied,error,requested_has_stairs,selected_step_free,route_switch_correct,constraint_applicable,constraint_satisfied,audio_replacement_expected,audio_replacement_ok,simple_language_expected,simple_language_ok,zurich_source_present,zurich_grounding_text_present,unsupported_accessibility_claim,schema_valid
no_profile,no_profile,route_with_stairs,route_with_stairs,Station to City Hall (fastest),,,[],[],,True,False,True,False,True,False,True,False,True,False,False,False,True
no_profile,single_pass_profile,route_with_stairs,route_with_stairs,Station to City Hall (fastest),,,[],[],,True,False,True,False,True,False,True,False,True,False,False,False,True
no_profile,profile_only,route_with_stairs,route_with_stairs,Station to City Hall (fastest),,,[],[],,True,False,True,False,True,False,True,False,True,False,False,False,True
no_profile,profile_zurich_fixture,route_with_stairs,route_with_stairs,Station to City Hall (fastest),route_metadata+zurich_ogd_zueriact,"Route orchestrator selected 'Station to City Hall (fastest)'. Risk check: selected route fixture includes stairs metadata; selected route fixture includes an audio-only cue; ZüriACT live data: 1 barrier(s) near route (reference surface barrier); worst severity 4/5 (barely_passable). Plan synthesis produced 4 directions, 1 alerts, and 0 checklist items. ZüriACT live data: 1 barrier(s) in area (worst severity 4/5). Nearest accessible toilet: Reference accessible toilet (0m). Nearest disabled parking: Zurich reference fixture (0m).","[""ZüriACT: 1 high-severity barrier(s) near route (reference surface barrier).""]","[""zurich_act_barrier_check""]",,True,False,True,False,True,False,True,False,True,True,True,False,True
no_profile,no_profile,step_free_route,step_free_route,Station to City Hall (step-free),,,[],[],,False,True,True,False,True,False,True,False,True,False,False,False,True
no_profile,single_pass_profile,step_free_route,step_free_route,Station to City Hall (step-free),,,[],[],,False,True,True,False,True,False,True,False,True,False,False,False,True
no_profile,profile_only,step_free_route,step_free_route,Station to City Hall (step-free),,,[],[],,False,True,True,False,True,False,True,False,True,False,False,False,True
no_profile,profile_zurich_fixture,step_free_route,step_free_route,Station to City Hall (step-free),route_metadata+zurich_ogd_zueriact,"Route orchestrator selected 'Station to City Hall (step-free)'. Risk check: selected route fixture is marked step-free; ZüriACT live data: 1 barrier(s) near route (reference surface barrier); worst severity 4/5 (barely_passable); ZüriACT: 1 high-severity barrier(s) near route (reference surface barrier).. Plan synthesis produced 4 directions, 1 alerts, and 0 checklist items. ZüriACT live data: 1 barrier(s) in area (worst severity 4/5). Nearest accessible toilet: Reference accessible toilet (0m). Nearest disabled parking: Zurich reference fixture (0m).","[""ZüriACT: 1 high-severity barrier(s) near route (reference surface barrier).""]","[""zurich_act_barrier_check""]",,False,True,True,False,True,False,True,False,True,True,True,False,True
no_profile,no_profile,long_walk_route,long_walk_route,Park Loop (scenic),,,[],[],,False,True,True,False,True,False,True,False,True,False,False,False,True
no_profile,single_pass_profile,long_walk_route,long_walk_route,Park Loop (scenic),,,[],[],,False,True,True,False,True,False,True,False,True,False,False,False,True
no_profile,profile_only,long_walk_route,long_walk_route,Park Loop (scenic),,,[],[],,False,True,True,False,True,False,True,False,True,False,False,False,True
no_profile,profile_zurich_fixture,long_walk_route,long_walk_route,Park Loop (scenic),route_metadata+zurich_ogd_zueriact,"Route orchestrator selected 'Park Loop (scenic)'. Risk check: selected route fixture includes a long walking segment; selected route fixture is marked step-free; ZüriACT live data: 1 barrier(s) near route (reference surface barrier); worst severity 4/5 (barely_passable). Plan synthesis produced 3 directions, 1 alerts, and 0 checklist items. ZüriACT live data: 1 barrier(s) in area (worst severity 4/5). Nearest accessible toilet: Reference accessible toilet (0m). Nearest disabled parking: Zurich reference fixture (0m).","[""ZüriACT: 1 high-severity barrier(s) near route (reference surface barrier).""]","[""zurich_act_barrier_check""]",,False,True,True,False,True,False,True,False,True,True,True,False,True
no_profile,no_profile,zurich_hb_to_rathaus,zurich_hb_to_rathaus,Zürich HB → Rathaus (fastest),,,[],[],,True,False,True,False,True,False,True,False,True,False,False,False,True
no_profile,single_pass_profile,zurich_hb_to_rathaus,zurich_hb_to_rathaus,Zürich HB → Rathaus (fastest),,,[],[],,True,False,True,False,True,False,True,False,True,False,False,False,True
no_profile,profile_only,zurich_hb_to_rathaus,zurich_hb_to_rathaus,Zürich HB → Rathaus (fastest),,,[],[],,True,False,True,False,True,False,True,False,True,False,False,False,True
no_profile,profile_zurich_fixture,zurich_hb_to_rathaus,zurich_hb_to_rathaus,Zürich HB → Rathaus (fastest),route_metadata+zurich_ogd_zueriact,"Route orchestrator selected 'Zürich HB → Rathaus (fastest)'. Risk check: selected route fixture includes stairs metadata; selected route fixture includes an audio-only cue; ZüriACT live data: 1 barrier(s) near route (reference surface barrier); worst severity 4/5 (barely_passable). Plan synthesis produced 4 directions, 1 alerts, and 0 checklist items. ZüriACT live data: 1 barrier(s) in area (worst severity 4/5). Nearest accessible toilet: Reference accessible toilet (0m). Nearest disabled parking: Zurich reference fixture (0m).","[""ZüriACT: 1 high-severity barrier(s) near route (reference surface barrier).""]","[""zurich_act_step_barrier_analysis"", ""zurich_act_barrier_check""]",,True,False,True,False,True,False,True,False,True,True,True,False,True
no_profile,no_profile,zurich_hb_to_rathaus_sf,zurich_hb_to_rathaus_sf,Zürich HB → Rathaus (step-free),,,[],[],,False,True,True,False,True,False,True,False,True,False,False,False,True
no_profile,single_pass_profile,zurich_hb_to_rathaus_sf,zurich_hb_to_rathaus_sf,Zürich HB → Rathaus (step-free),,,[],[],,False,True,True,False,True,False,True,False,True,False,False,False,True
no_profile,profile_only,zurich_hb_to_rathaus_sf,zurich_hb_to_rathaus_sf,Zürich HB → Rathaus (step-free),,,[],[],,False,True,True,False,True,False,True,False,True,False,False,False,True
no_profile,profile_zurich_fixture,zurich_hb_to_rathaus_sf,zurich_hb_to_rathaus_sf,Zürich HB → Rathaus (step-free),route_metadata+zurich_ogd_zueriact,"Route orchestrator selected 'Zürich HB → Rathaus (step-free)'. Risk check: selected route fixture is marked step-free; ZüriACT live data: 1 barrier(s) near route (reference surface barrier); worst severity 4/5 (barely_passable); ZüriACT: 1 high-severity barrier(s) near route (reference surface barrier).. Plan synthesis produced 4 directions, 1 alerts, and 0 checklist items. ZüriACT live data: 1 barrier(s) in area (worst severity 4/5). Nearest accessible toilet: Reference accessible toilet (0m). Nearest disabled parking: Zurich reference fixture (0m).","[""ZüriACT: 1 high-severity barrier(s) near route (reference surface barrier).""]","[""zurich_act_step_barrier_analysis"", ""zurich_act_barrier_check""]",,False,True,True,False,True,False,True,False,True,True,True,False,True
wheelchair,no_profile,route_with_stairs,route_with_stairs,Station to City Hall (fastest),,,[],[],,True,False,True,False,True,False,True,False,True,False,False,False,True
wheelchair,single_pass_profile,route_with_stairs,route_with_stairs,Station to City Hall (fastest),,,"[""High alert: this step includes stairs.""]","[""mobility_step_free_preference""]",,True,False,False,True,False,False,True,False,True,False,False,False,True
wheelchair,profile_only,route_with_stairs,step_free_route,Station to City Hall (step-free),,,"[""Original route had stairs; switched to step-free alternative.""]","[""step_free_route"", ""mobility_step_free_preference""]",,True,True,True,True,True,False,True,False,True,False,False,False,True
wheelchair,profile_zurich_fixture,route_with_stairs,step_free_route,Station to City Hall (step-free),route_metadata+zurich_ogd_zueriact,"Route orchestrator switched from 'route_with_stairs' to 'Station to City Hall (step-free)'. Risk check: selected route fixture is marked step-free; ZüriACT live data: 1 barrier(s) near route (reference surface barrier); worst severity 4/5 (barely_passable); ZüriACT: 1 high-severity barrier(s) near route (reference surface barrier).. Plan synthesis produced 4 directions, 2 alerts, and 4 checklist items. ZüriACT live data: 1 barrier(s) in area (worst severity 4/5). Nearest accessible toilet: Reference accessible toilet (0m). Nearest disabled parking: Zurich reference fixture (0m).","[""ZüriACT: 1 high-severity barrier(s) near route (reference surface barrier)."", ""ZüriACT reports high-severity barriers near this route. Contact the local accessibility service before departure.""]","[""mobility_step_free_preference"", ""zurich_act_barrier_check"", ""zurich_accessible_toilet_info"", ""zurich_disabled_parking_info""]",,True,True,True,True,True,False,True,False,True,True,True,False,True
wheelchair,no_profile,step_free_route,step_free_route,Station to City Hall (step-free),,,[],[],,False,True,True,False,True,False,True,False,True,False,False,False,True
wheelchair,single_pass_profile,step_free_route,step_free_route,Station to City Hall (step-free),,,[],"[""mobility_step_free_preference""]",,False,True,True,True,True,False,True,False,True,False,False,False,True
wheelchair,profile_only,step_free_route,step_free_route,Station to City Hall (step-free),,,[],"[""mobility_step_free_preference""]",,False,True,True,True,True,False,True,False,True,False,False,False,True
wheelchair,profile_zurich_fixture,step_free_route,step_free_route,Station to City Hall (step-free),route_metadata+zurich_ogd_zueriact,"Route orchestrator selected 'Station to City Hall (step-free)'. Risk check: selected route fixture is marked step-free; ZüriACT live data: 1 barrier(s) near route (reference surface barrier); worst severity 4/5 (barely_passable); ZüriACT: 1 high-severity barrier(s) near route (reference surface barrier).. Plan synthesis produced 4 directions, 2 alerts, and 4 checklist items. ZüriACT live data: 1 barrier(s) in area (worst severity 4/5). Nearest accessible toilet: Reference accessible toilet (0m). Nearest disabled parking: Zurich reference fixture (0m).","[""ZüriACT: 1 high-severity barrier(s) near route (reference surface barrier)."", ""ZüriACT reports high-severity barriers near this route. Contact the local accessibility service before departure.""]","[""mobility_step_free_preference"", ""zurich_act_barrier_check"", ""zurich_accessible_toilet_info"", ""zurich_disabled_parking_info""]",,False,True,True,True,True,False,True,False,True,True,True,False,True
wheelchair,no_profile,long_walk_route,long_walk_route,Park Loop (scenic),,,[],[],,False,True,True,False,True,False,True,False,True,False,False,False,True
wheelchair,single_pass_profile,long_walk_route,long_walk_route,Park Loop (scenic),,,"[""Long walking distance may cause fatigue. Consider rest breaks.""]","[""fatigue_risk_alert"", ""mobility_step_free_preference""]",,False,True,True,True,True,False,True,False,True,False,False,False,True
wheelchair,profile_only,long_walk_route,long_walk_route,Park Loop (scenic),,,"[""Long walking distance may cause fatigue. Consider rest breaks.""]","[""fatigue_risk_alert"", ""mobility_step_free_preference""]",,False,True,True,True,True,False,True,False,True,False,False,False,True
wheelchair,profile_zurich_fixture,long_walk_route,long_walk_route,Park Loop (scenic),route_metadata+zurich_ogd_zueriact,"Route orchestrator selected 'Park Loop (scenic)'. Risk check: selected route fixture includes a long walking segment; selected route fixture is marked step-free; ZüriACT live data: 1 barrier(s) near route (reference surface barrier); worst severity 4/5 (barely_passable). Plan synthesis produced 3 directions, 3 alerts, and 4 checklist items. ZüriACT live data: 1 barrier(s) in area (worst severity 4/5). Nearest accessible toilet: Reference accessible toilet (0m). Nearest disabled parking: Zurich reference fixture (0m).","[""Long walking distance may cause fatigue. Consider rest breaks."", ""ZüriACT: 1 high-severity barrier(s) near route (reference surface barrier)."", ""ZüriACT reports high-severity barriers near this route. Contact the local accessibility service before departure.""]","[""fatigue_risk_alert"", ""mobility_step_free_preference"", ""zurich_act_barrier_check"", ""zurich_accessible_toilet_info"", ""zurich_disabled_parking_info""]",,False,True,True,True,True,False,True,False,True,True,True,False,True
wheelchair,no_profile,zurich_hb_to_rathaus,zurich_hb_to_rathaus,Zürich HB → Rathaus (fastest),,,[],[],,True,False,True,False,True,False,True,False,True,False,False,False,True
wheelchair,single_pass_profile,zurich_hb_to_rathaus,zurich_hb_to_rathaus,Zürich HB → Rathaus (fastest),,,"[""High alert: this step includes stairs.""]","[""mobility_step_free_preference""]",,True,False,False,True,False,False,True,False,True,False,False,False,True
wheelchair,profile_only,zurich_hb_to_rathaus,zurich_hb_to_rathaus_sf,Zürich HB → Rathaus (step-free),,,"[""Original route had stairs; switched to step-free alternative.""]","[""step_free_route"", ""mobility_step_free_preference""]",,True,True,True,True,True,False,True,False,True,False,False,False,True
wheelchair,profile_zurich_fixture,zurich_hb_to_rathaus,zurich_hb_to_rathaus_sf,Zürich HB → Rathaus (step-free),route_metadata+zurich_ogd_zueriact,"Route orchestrator switched from 'zurich_hb_to_rathaus' to 'Zürich HB → Rathaus (step-free)'. Risk check: selected route fixture is marked step-free; ZüriACT live data: 1 barrier(s) near route (reference surface barrier); worst severity 4/5 (barely_passable); ZüriACT: 1 high-severity barrier(s) near route (reference surface barrier).. Plan synthesis produced 4 directions, 2 alerts, and 4 checklist items. ZüriACT live data: 1 barrier(s) in area (worst severity 4/5). Nearest accessible toilet: Reference accessible toilet (0m). Nearest disabled parking: Zurich reference fixture (0m).","[""ZüriACT: 1 high-severity barrier(s) near route (reference surface barrier)."", ""ZüriACT reports high-severity barriers near this route. Contact the local accessibility service before departure.""]","[""mobility_step_free_preference"", ""zurich_act_step_barrier_analysis"", ""zurich_act_barrier_check"", ""zurich_accessible_toilet_info"", ""zurich_disabled_parking_info""]",,True,True,True,True,True,False,True,False,True,True,True,False,True
wheelchair,no_profile,zurich_hb_to_rathaus_sf,zurich_hb_to_rathaus_sf,Zürich HB → Rathaus (step-free),,,[],[],,False,True,True,False,True,False,True,False,True,False,False,False,True
wheelchair,single_pass_profile,zurich_hb_to_rathaus_sf,zurich_hb_to_rathaus_sf,Zürich HB → Rathaus (step-free),,,[],"[""mobility_step_free_preference""]",,False,True,True,True,True,False,True,False,True,False,False,False,True
wheelchair,profile_only,zurich_hb_to_rathaus_sf,zurich_hb_to_rathaus_sf,Zürich HB → Rathaus (step-free),,,[],"[""mobility_step_free_preference""]",,False,True,True,True,True,False,True,False,True,False,False,False,True
wheelchair,profile_zurich_fixture,zurich_hb_to_rathaus_sf,zurich_hb_to_rathaus_sf,Zürich HB → Rathaus (step-free),route_metadata+zurich_ogd_zueriact,"Route orchestrator selected 'Zürich HB → Rathaus (step-free)'. Risk check: selected route fixture is marked step-free; ZüriACT live data: 1 barrier(s) near route (reference surface barrier); worst severity 4/5 (barely_passable); ZüriACT: 1 high-severity barrier(s) near route (reference surface barrier).. Plan synthesis produced 4 directions, 2 alerts, and 4 checklist items. ZüriACT live data: 1 barrier(s) in area (worst severity 4/5). Nearest accessible toilet: Reference accessible toilet (0m). Nearest disabled parking: Zurich reference fixture (0m).","[""ZüriACT: 1 high-severity barrier(s) near route (reference surface barrier)."", ""ZüriACT reports high-severity barriers near this route. Contact the local accessibility service before departure.""]","[""mobility_step_free_preference"", ""zurich_act_step_barrier_analysis"", ""zurich_act_barrier_check"", ""zurich_accessible_toilet_info"", ""zurich_disabled_parking_info""]",,False,True,True,True,True,False,True,False,True,True,True,False,True
blind_low_vision,no_profile,route_with_stairs,route_with_stairs,Station to City Hall (fastest),,,[],[],,True,False,True,False,True,False,True,False,True,False,False,False,True
blind_low_vision,single_pass_profile,route_with_stairs,route_with_stairs,Station to City Hall (fastest),,,[],"[""low_vision_stepwise_directions""]",,True,False,True,False,True,False,True,False,True,False,False,False,True
blind_low_vision,profile_only,route_with_stairs,route_with_stairs,Station to City Hall (fastest),,,[],"[""low_vision_stepwise_directions""]",,True,False,True,False,True,False,True,False,True,False,False,False,True
blind_low_vision,profile_zurich_fixture,route_with_stairs,route_with_stairs,Station to City Hall (fastest),route_metadata+zurich_ogd_zueriact,"Route orchestrator selected 'Station to City Hall (fastest)'. Risk check: selected route fixture includes stairs metadata; selected route fixture includes an audio-only cue; ZüriACT live data: 1 barrier(s) near route (reference surface barrier); worst severity 4/5 (barely_passable). Plan synthesis produced 4 directions, 1 alerts, and 2 checklist items. ZüriACT live data: 1 barrier(s) in area (worst severity 4/5). Nearest accessible toilet: Reference accessible toilet (0m). Nearest disabled parking: Zurich reference fixture (0m).","[""ZüriACT: 1 high-severity barrier(s) near route (reference surface barrier).""]","[""low_vision_stepwise_directions"", ""zurich_act_barrier_check""]",,True,False,True,False,True,False,True,False,True,True,True,False,True
blind_low_vision,no_profile,step_free_route,step_free_route,Station to City Hall (step-free),,,[],[],,False,True,True,False,True,False,True,False,True,False,False,False,True
blind_low_vision,single_pass_profile,step_free_route,step_free_route,Station to City Hall (step-free),,,[],"[""low_vision_stepwise_directions""]",,False,True,True,False,True,False,True,False,True,False,False,False,True
blind_low_vision,profile_only,step_free_route,step_free_route,Station to City Hall (step-free),,,[],"[""low_vision_stepwise_directions""]",,False,True,True,False,True,False,True,False,True,False,False,False,True
blind_low_vision,profile_zurich_fixture,step_free_route,step_free_route,Station to City Hall (step-free),route_metadata+zurich_ogd_zueriact,"Route orchestrator selected 'Station to City Hall (step-free)'. Risk check: selected route fixture is marked step-free; ZüriACT live data: 1 barrier(s) near route (reference surface barrier); worst severity 4/5 (barely_passable); ZüriACT: 1 high-severity barrier(s) near route (reference surface barrier).. Plan synthesis produced 4 directions, 1 alerts, and 2 checklist items. ZüriACT live data: 1 barrier(s) in area (worst severity 4/5). Nearest accessible toilet: Reference accessible toilet (0m). Nearest disabled parking: Zurich reference fixture (0m).","[""ZüriACT: 1 high-severity barrier(s) near route (reference surface barrier).""]","[""low_vision_stepwise_directions"", ""zurich_act_barrier_check""]",,False,True,True,False,True,False,True,False,True,True,True,False,True
blind_low_vision,no_profile,long_walk_route,long_walk_route,Park Loop (scenic),,,[],[],,False,True,True,False,True,False,True,False,True,False,False,False,True
blind_low_vision,single_pass_profile,long_walk_route,long_walk_route,Park Loop (scenic),,,[],"[""low_vision_stepwise_directions""]",,False,True,True,False,True,False,True,False,True,False,False,False,True
blind_low_vision,profile_only,long_walk_route,long_walk_route,Park Loop (scenic),,,[],"[""low_vision_stepwise_directions""]",,False,True,True,False,True,False,True,False,True,False,False,False,True
blind_low_vision,profile_zurich_fixture,long_walk_route,long_walk_route,Park Loop (scenic),route_metadata+zurich_ogd_zueriact,"Route orchestrator selected 'Park Loop (scenic)'. Risk check: selected route fixture includes a long walking segment; selected route fixture is marked step-free; ZüriACT live data: 1 barrier(s) near route (reference surface barrier); worst severity 4/5 (barely_passable). Plan synthesis produced 3 directions, 1 alerts, and 2 checklist items. ZüriACT live data: 1 barrier(s) in area (worst severity 4/5). Nearest accessible toilet: Reference accessible toilet (0m). Nearest disabled parking: Zurich reference fixture (0m).","[""ZüriACT: 1 high-severity barrier(s) near route (reference surface barrier).""]","[""low_vision_stepwise_directions"", ""zurich_act_barrier_check""]",,False,True,True,False,True,False,True,False,True,True,True,False,True
blind_low_vision,no_profile,zurich_hb_to_rathaus,zurich_hb_to_rathaus,Zürich HB → Rathaus (fastest),,,[],[],,True,False,True,False,True,False,True,False,True,False,False,False,True
blind_low_vision,single_pass_profile,zurich_hb_to_rathaus,zurich_hb_to_rathaus,Zürich HB → Rathaus (fastest),,,[],"[""low_vision_stepwise_directions""]",,True,False,True,False,True,False,True,False,True,False,False,False,True
blind_low_vision,profile_only,zurich_hb_to_rathaus,zurich_hb_to_rathaus,Zürich HB → Rathaus (fastest),,,[],"[""low_vision_stepwise_directions""]",,True,False,True,False,True,False,True,False,True,False,False,False,True
blind_low_vision,profile_zurich_fixture,zurich_hb_to_rathaus,zurich_hb_to_rathaus,Zürich HB → Rathaus (fastest),route_metadata+zurich_ogd_zueriact,"Route orchestrator selected 'Zürich HB → Rathaus (fastest)'. Risk check: selected route fixture includes stairs metadata; selected route fixture includes an audio-only cue; ZüriACT live data: 1 barrier(s) near route (reference surface barrier); worst severity 4/5 (barely_passable). Plan synthesis produced 4 directions, 1 alerts, and 2 checklist items. ZüriACT live data: 1 barrier(s) in area (worst severity 4/5). Nearest accessible toilet: Reference accessible toilet (0m). Nearest disabled parking: Zurich reference fixture (0m).","[""ZüriACT: 1 high-severity barrier(s) near route (reference surface barrier).""]","[""low_vision_stepwise_directions"", ""zurich_act_step_barrier_analysis"", ""zurich_act_barrier_check""]",,True,False,True,False,True,False,True,False,True,True,True,False,True
blind_low_vision,no_profile,zurich_hb_to_rathaus_sf,zurich_hb_to_rathaus_sf,Zürich HB → Rathaus (step-free),,,[],[],,False,True,True,False,True,False,True,False,True,False,False,False,True
blind_low_vision,single_pass_profile,zurich_hb_to_rathaus_sf,zurich_hb_to_rathaus_sf,Zürich HB → Rathaus (step-free),,,[],"[""low_vision_stepwise_directions""]",,False,True,True,False,True,False,True,False,True,False,False,False,True
blind_low_vision,profile_only,zurich_hb_to_rathaus_sf,zurich_hb_to_rathaus_sf,Zürich HB → Rathaus (step-free),,,[],"[""low_vision_stepwise_directions""]",,False,True,True,False,True,False,True,False,True,False,False,False,True
blind_low_vision,profile_zurich_fixture,zurich_hb_to_rathaus_sf,zurich_hb_to_rathaus_sf,Zürich HB → Rathaus (step-free),route_metadata+zurich_ogd_zueriact,"Route orchestrator selected 'Zürich HB → Rathaus (step-free)'. Risk check: selected route fixture is marked step-free; ZüriACT live data: 1 barrier(s) near route (reference surface barrier); worst severity 4/5 (barely_passable); ZüriACT: 1 high-severity barrier(s) near route (reference surface barrier).. Plan synthesis produced 4 directions, 1 alerts, and 2 checklist items. ZüriACT live data: 1 barrier(s) in area (worst severity 4/5). Nearest accessible toilet: Reference accessible toilet (0m). Nearest disabled parking: Zurich reference fixture (0m).","[""ZüriACT: 1 high-severity barrier(s) near route (reference surface barrier).""]","[""low_vision_stepwise_directions"", ""zurich_act_step_barrier_analysis"", ""zurich_act_barrier_check""]",,False,True,True,False,True,False,True,False,True,True,True,False,True
deaf_sign,no_profile,route_with_stairs,route_with_stairs,Station to City Hall (fastest),,,[],[],,True,False,True,False,True,False,True,False,True,False,False,False,True
deaf_sign,single_pass_profile,route_with_stairs,route_with_stairs,Station to City Hall (fastest),,,[],"[""audio_to_visible_cues"", ""deaf_text_first_guidance""]",,True,False,True,False,True,True,True,False,True,False,False,False,True
deaf_sign,profile_only,route_with_stairs,route_with_stairs,Station to City Hall (fastest),,,[],"[""audio_to_visible_cues"", ""deaf_text_first_guidance""]",,True,False,True,False,True,True,True,False,True,False,False,False,True
